route_id,realtime_enabled
1,1
2,1
3,1
4,1
5,1
6,1
8,1
11,1
12,1
13,1
14,1
15,1
16,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
32,1
34,1
35,1
36,1
40,1
42,1
44,1
46,1
47,1
48,1
49,1
50,1
52,1
55,1
59,1
60,1
61,1
64,1
66,1
67,1
69,1
70,1
72,1
74,1
76,1
77,1
81,1
101,1
102,1
103,1
104,1
106,1
110,1
111,1
155,1
206,1
