name,block_id,lat,lon,neighborhood,point_type
55,mp96,42.90478746,-78.85686994,Masten Park,interior
56,fb11,42.9032413,-78.86747485,Fruit Belt,interior
57,fb12,42.90306845,-78.8645137,Fruit Belt,interior
58,fb13,42.90303909,-78.86202568,Fruit Belt,interior
59,fb14,42.90302338,-78.86061484,Fruit Belt,interior
60,fb15,42.90299765,-78.85798708,Fruit Belt,interior
61,fb16,42.90297918,-78.85572168,Fruit Belt,interior
62,fb17,42.90296268,-78.85461581,Fruit Belt,interior
63,fb18,42.90198208,-78.85334605,Fruit Belt,interior
64,fb19,42.90198196,-78.85212779,Fruit Belt,interior
65,fb110,42.90197799,-78.85085911,Fruit Belt,interior
66,fb111,42.90285603,-78.84928626,Fruit Belt,interior
67,fb112,42.90285407,-78.84774667,Fruit Belt,interior
68,fb113,42.90280127,-78.84649462,Fruit Belt,interior
69,fb114,42.90280677,-78.84525383,Fruit Belt,interior
70,fb21,42.90122239,-78.86219305,Fruit Belt,interior
71,fb22,42.90120432,-78.8611824,Fruit Belt,interior
72,fb23,42.90119332,-78.86018622,Fruit Belt,interior
73,fb24,42.90119607,-78.85916967,Fruit Belt,interior
74,fb25,42.90117446,-78.8581515,Fruit Belt,interior
75,fb26,42.90115167,-78.85713494,Fruit Belt,interior
76,fb27,42.90115835,-78.85610551,Fruit Belt,interior
77,fb28,42.90115639,-78.855097,Fruit Belt,interior
78,fb29,42.90113871,-78.85432452,Fruit Belt,interior
79,fb210,42.90107114,-78.84930504,Fruit Belt,interior
80,fb211,42.90103932,-78.8477456,Fruit Belt,interior
81,fb212,42.9010291,-78.84648764,Fruit Belt,interior
82,fb213,42.9010291,-78.84524846,Fruit Belt,interior
83,fb31,42.89948985,-78.86933363,Fruit Belt,interior
84,fb32,42.89946432,-78.86815614,Fruit Belt,interior
85,fb33,42.89944782,-78.86680645,Fruit Belt,interior
86,fb34,42.89942228,-78.86473847,Fruit Belt,interior
87,fb35,42.89939674,-78.86277938,Fruit Belt,interior
88,fb36,42.89938417,-78.86178267,Fruit Belt,interior
89,fb37,42.89936846,-78.86077148,Fruit Belt,interior
90,fb38,42.89935078,-78.85976029,Fruit Belt,interior
91,fb39,42.89935981,-78.85873086,Fruit Belt,interior
92,fb310,42.89934606,-78.85772235,Fruit Belt,interior
93,fb311,42.89933978,-78.85669667,Fruit Belt,interior
94,fb312,42.89931856,-78.85567958,Fruit Belt,interior
95,fb313,42.8993052,-78.85458899,Fruit Belt,interior
96,fb314,42.89928635,-78.85113699,Fruit Belt,interior
97,fb315,42.89948436,-78.84770698,Fruit Belt,interior
98,fb316,42.8997413,-78.84647209,Fruit Belt,interior
99,fb317,42.89998495,-78.84526885,Fruit Belt,interior
100,fb41,42.89768628,-78.86991245,Fruit Belt,interior
101,fb42,42.89767449,-78.86874166,Fruit Belt,interior
102,fb43,42.89786033,-78.86663935,Fruit Belt,interior
103,fb44,42.89767469,-78.86458316,Fruit Belt,interior
104,fb45,42.89761615,-78.86337322,Fruit Belt,interior
105,fb46,42.89760809,-78.86237115,Fruit Belt,interior
106,fb47,42.89759375,-78.86134466,Fruit Belt,interior
107,fb48,42.8975802,-78.86032677,Fruit Belt,interior
108,fb49,42.89757529,-78.8593145,Fruit Belt,interior
109,fb410,42.89757057,-78.85829258,Fruit Belt,interior
110,fb411,42.89755604,-78.857261,Fruit Belt,interior
111,fb412,42.89759336,-78.85623774,Fruit Belt,interior
112,fb413,42.89752988,-78.85525283,Fruit Belt,interior
113,fb414,42.89750823,-78.85436475,Fruit Belt,interior
114,fb415,42.89777382,-78.85172546,Fruit Belt,interior
