destination_id,origin_id,time,distance
1.0,1,1226.1926304428732,1716.6696826200225
1.0,2,1293.7028574446956,1811.1840004225737
1.0,3,1412.3659211971876,1977.3122896760626
1.0,4,1522.231867995869,2131.1246151942164
1.0,5,1576.2062759033952,2206.688786264753
1.0,6,1629.7383997872782,2281.6337597021893
1.0,7,1682.591201007167,2355.627681410034
1.0,8,1733.5725766480048,2427.0016073072065
1.0,9,1779.3583910286281,2491.101747440079
1.0,10,1096.8141575494906,1535.5398205692866
1.0,11,1179.1079629973285,1650.7511481962597
1.0,12,1327.7898446847287,1858.9057825586199
1.0,13,1269.6167661624022,1777.463472627363
1.0,14,1405.9600853278523,1968.3441194589932
1.0,15,1460.367071836813,2044.513900571538
1.0,16,1513.482442322891,2118.8754192520473
1.0,17,1566.188788488655,2192.664303884117
1.0,18,1619.148123179835,2266.807372451769
1.0,19,1671.7939253221766,2340.5114954510473
1.0,20,1011.3727327441521,1415.921825841813
1.0,21,1188.1625366526328,1663.4275513136859
1.0,22,1350.3893252387547,1890.5450553342564
1.0,23,1456.9460815499815,2039.724514169974
1.0,24,1508.7930551328595,2112.310277186003
1.0,25,1582.701435764779,2215.7820100706904
1.0,26,1534.7894795541158,2148.705271375762
1.0,27,912.5289229012255,1277.5404920617157
1.0,28,1097.9215526306255,1537.0901736828755
1.0,29,1258.1968448858152,1761.475582840141
1.0,30,1438.4822548690283,2013.8751568166394
1.0,31,1398.201022643957,1957.4814317015396
1.0,32,836.382932283336,1170.9361051966703
1.0,33,1029.1703023322327,1440.8384232651256
1.0,34,1270.9339525773287,1779.3075336082602
1.0,35,649.0934691047346,908.7308567466283
1.0,36,738.5346839984002,1033.94855759776
1.0,37,806.363152445907,1128.9084134242696
1.0,38,959.7085297944335,1343.5919417122068
1.0,39,880.957371912952,1233.3403206781327
1.0,40,1201.524908359146,1682.1348717028043
1.0,41,1124.276826959085,1573.9875577427188
1.0,42,509.9249217953804,713.8948905135325
1.0,43,655.9439395438479,918.321515361387
1.0,44,809.8311900033228,1133.763666004652
1.0,45,1052.4851457684888,1473.4792040758844
1.0,46,419.7677973548527,587.6749162967938
1.0,47,574.3922325015401,804.149125502156
1.0,48,736.261852259554,1030.7665931633755
1.0,49,979.9503745350818,1371.9305243491144
1.0,50,308.3353573650905,431.6695003111266
1.0,51,492.0927362556663,688.9298307579328
1.0,52,411.29153486142945,575.8081488060012
1.0,53,663.1466585800536,928.405322012075
1.0,54,589.5726184533307,825.401665834663
1.0,55,871.0006355627183,1219.4008897878057
