stop_id,id,lat,lon,time,distance
3930.0,1,42.90392,-78.866304,974.3527956941795,1364.0939139718512
3940.0,1,42.904044,-78.865946,943.6332853243525,1321.0865994540934
4000.0,1,42.903625,-78.844911,1996.7926827206227,2795.5097558088714
4020.0,1,42.903787,-78.854197,1442.3401398096507,2019.276195733511
4030.0,1,42.903913,-78.853783,1456.4881462975318,2039.0834048165443
4060.0,1,42.904571,-78.868099,1027.3873297843013,1438.3422616980217
4070.0,1,42.904612,-78.868024,1019.7596453507846,1427.6635034910983
4080.0,1,42.903898,-78.859923,1099.5683308389437,1539.3956631745211
4090.0,1,42.903957,-78.859542,1117.1081327637403,1563.9513858692362
4100.0,1,42.903898,-78.862842,929.320234910486,1301.0483288746802
4110.0,1,42.904018,-78.86239,946.1606613859432,1324.6249259403203
4120.0,1,42.903918,-78.856001,1326.7285030954952,1857.419904333693
4125.0,1,42.903839,-78.85638,1310.8923617185376,1835.2493064059524
4130.0,1,42.903798,-78.85167,1588.8523250069654,2224.3932550097516
4140.0,1,42.903868,-78.851301,1604.8193807790853,2246.747133090719
4150.0,1,42.903739,-78.847292,1848.8769922071444,2588.427789090002
4160.0,1,42.903679,-78.841752,2176.753632065889,3047.455084892245
4170.0,1,42.903714,-78.84128,2201.505343282536,3082.1074805955504
4210.0,1,42.903828,-78.847924,1804.9539459928887,2526.935524390044
4220.0,1,42.903778,-78.844263,2022.4460659186407,2831.4244922860967
7308.0,1,42.898635,-78.868954,1548.279523483696,2167.5913328771744
12390.0,1,42.899259,-78.873892,1786.7692681486799,2501.4769754081517
12400.0,1,42.899798,-78.874191,1761.4382290387816,2466.013520654294
12700.0,1,42.89569,-78.875091,2139.9019174721566,2995.862684461019
12710.0,1,42.896119,-78.8753,2118.0502907190325,2965.2704070066457
13300.0,1,42.902018,-78.87299,1515.2326874524379,2121.325762433413
13310.0,1,42.901866,-78.873339,1547.6490937465828,2166.708731245216
13680.0,1,42.89667,-78.874753,2042.4248665270757,2859.3948131379057
13690.0,1,42.897038,-78.874835,2018.006453003607,2825.2090342050496
14865.0,1,42.909381,-78.865055,468.1720445974965,655.4408624364951
14880.0,1,42.896675,-78.868367,1669.5703065969078,2337.398429235671
15080.0,1,42.899347,-78.876985,1960.1829112725975,2744.2560757816364
15090.0,1,42.899718,-78.877273,1947.5412003169388,2726.557680443714
15650.0,1,42.90215,-78.877108,1744.9371203982944,2442.911968557612
15660.0,1,42.902412,-78.877233,1731.4377791230352,2424.012890772249
15950.0,1,42.896752,-78.876953,2164.2311800235943,3029.923652033032
15960.0,1,42.897118,-78.877241,2151.986235076815,3012.7807291075405
17260.0,1,42.914979,-78.854249,606.283757664735,848.7972607306291
17270.0,1,42.914949,-78.853762,632.3070791947118,885.2299108725965
17340.0,1,42.915249,-78.859755,306.57588150428694,429.2062341060017
17350.0,1,42.915361,-78.859276,343.40042018040685,480.76058825256956
17450.0,1,42.915199,-78.856993,463.6995523376206,649.1793732726688
17460.0,1,42.915368,-78.856301,517.4701219660285,724.4581707524399
18670.0,1,42.902386,-78.861267,1141.1588356277275,1597.6223698788183
19600.0,1,42.897668,-78.850486,2144.327092173029,3002.0579290422406
19800.0,1,42.895039,-78.856592,1996.8125344423315,2795.537548219264
19810.0,1,42.89531,-78.856217,1997.1800937227806,2796.0521312118926
20000.0,1,42.899414,-78.845999,2267.481354065611,3174.4738956918554
20010.0,1,42.899695,-78.845722,2261.3396277793104,3165.8754788910346
20070.0,1,42.897832,-78.849869,2167.299584713995,3034.219418599593
20160.0,1,42.900017,-78.844783,2290.555092160864,3206.7771290252094
20170.0,1,42.900238,-78.844263,2303.3471577076843,3224.686020790758
20240.0,1,42.895978,-78.854382,2051.198711704558,2871.6781963863805
20250.0,1,42.896418,-78.85339,2074.1420106967953,2903.7988149755133
20260.0,1,42.89843,-78.848491,2200.2185957773418,3080.306034088278
20270.0,1,42.898694,-78.848056,2204.6410429844605,3086.497460178244
20490.0,1,42.897066,-78.851736,2119.1909636666146,2966.86734913326
20710.0,1,42.90086,-78.842741,2342.7604073791917,3279.8645703308684
20730.0,1,42.901138,-78.842154,2354.937203089869,3296.9120843258165
21440.0,1,42.89526,-78.871074,1939.7346569812296,2715.628519773721
24040.0,1,42.900218,-78.865042,1194.5036513781695,1672.3051119294373
24060.0,1,42.900289,-78.867492,1331.763846477622,1864.4693850686708
24130.0,1,42.900187,-78.863263,1199.2358264935442,1678.9301570909618
25610.0,1,42.903677,-78.853772,1475.8564568982756,2066.1990396575857
25620.0,1,42.903589,-78.854106,1463.3590560255527,2048.7026784357736
25670.0,1,42.898219,-78.853853,1904.227648119622,2665.9187073674707
25680.0,1,42.898576,-78.854085,1862.3683101060824,2607.315634148515
25720.0,1,42.905468,-78.85382,1330.9399271080026,1863.3158979512036
25730.0,1,42.905859,-78.854181,1278.8588201761322,1790.402348246585
25760.0,1,42.914769,-78.853811,615.1660589484492,861.2324825278288
25770.0,1,42.901869,-78.853782,1618.7391033270565,2266.2347446578788
25780.0,1,42.902265,-78.854072,1570.402275262175,2198.5631853670448
25790.0,1,42.910768,-78.853882,906.7652495799274,1269.4713494118982
25800.0,1,42.91135,-78.854202,841.9194151524218,1178.6871812133904
25840.0,1,42.89602,-78.85388,2077.144696809405,2908.002575533167
25850.0,1,42.896308,-78.854212,2034.9281434165916,2848.899400783228
25860.0,1,42.912208,-78.853811,796.6412210156611,1115.2977094219254
25863.0,1,42.912546,-78.854056,755.5312640229438,1057.7437696321213
25870.0,1,42.900047,-78.853833,1760.3413233981864,2464.477852757461
25880.0,1,42.900411,-78.854113,1715.1269647398647,2401.1777506358103
25910.0,1,42.907309,-78.853842,1183.572246500054,1657.0011451000755
25920.0,1,42.907339,-78.854083,1167.135614512362,1633.9898603173067
25990.0,1,42.909188,-78.853851,1033.9474060091432,1447.5263684128004
26000.0,1,42.909621,-78.854105,984.7742300360561,1378.6839220504785
29300.0,1,42.913257,-78.865332,176.76443241553625,247.47020538175073
29440.0,1,42.899558,-78.869872,1528.580504356214,2140.0127060986997
29450.0,1,42.899327,-78.869865,1546.502213794446,2165.1030993122245
29570.0,1,42.907021,-78.867484,797.1089213419967,1115.9524898787954
29640.0,1,42.904436,-78.868188,1043.2905106071437,1460.606714850001
29655.0,1,42.905837,-78.867902,915.4395744709584,1281.6154042593416
29690.0,1,42.909039,-78.866804,597.3188606411328,836.2464048975859
30050.0,1,42.905708,-78.867681,912.7861777186567,1277.9006488061193
30080.0,1,42.895449,-78.871257,1935.4107261002139,2709.575016540299
30230.0,1,42.912808,-78.865311,211.1681101544928,295.6353542162899
30340.0,1,42.900567,-78.869551,1429.7937440736252,2001.711241703075
30930.0,1,42.902019,-78.868903,1276.782673079677,1787.4957423115475
30940.0,1,42.902351,-78.868976,1254.6959365829628,1756.5743112161479
30950.0,1,42.907548,-78.86708,731.7281782027301,1024.419449483822
30960.0,1,42.907851,-78.867192,714.2172262094559,999.9041166932382
31200.0,1,42.909399,-78.866453,548.2808469236934,767.5931856931707
31430.0,1,42.90493,-78.868211,1005.4327549949921,1407.605856992989
31550.0,1,42.9114,-78.865973,361.50450501337974,506.1063070187316
31553.0,1,42.911468,-78.865742,342.6357850127953,479.6900990179133
31560.0,1,42.91139,-78.865286,322.2293442213328,451.1210819098659
31570.0,1,42.89704,-78.870483,1764.0211974465951,2469.629676425233
31580.0,1,42.89693,-78.87073,1787.155811513902,2502.0181361194627
31680.0,1,42.91382,-78.864934,108.87696106868526,152.42774549615936
33590.0,1,42.898678,-78.863591,1299.8455038938282,1819.7837054513593
33890.0,1,42.896908,-78.864163,1406.9345513753285,1969.70837192546
42960.0,1,42.900178,-78.884021,2304.611077662597,3226.455508727636
43130.0,1,42.902671,-78.884476,2133.3275475864198,2986.6585666209876
43250.0,1,42.902438,-78.882942,2062.347042986766,2887.2858601814723
43720.0,1,42.902659,-78.882008,1990.3358362824326,2786.4701707954055
51170.0,1,42.904689,-78.868663,1050.9187574283885,1471.286260399744
