stop_id,stop_code,stop_name,stop_lat,stop_lon,wheelchair_boarding,platform_code
1200,1200,Abbott Road Salem Street North,42.849619,-78.814013,0,
1210,1210,Abbott Road South Fisher Road North,42.81034,-78.79897,0,
1220,1220,Abbott Road South Fisher Road South,42.810668,-78.79927,0,
1230,1230,Abbott Road Southside Parkway South,42.856019,-78.823852,0,
1240,1240,Abbott Road Southwestern Boulevard ,42.778748,-78.789402,0,
1250,1250,Abbott Road Southwestern Boulevard ,42.778408,-78.789571,0,
1270,1270,Abbott Road Tamarack Street North,42.850789,-78.815611,0,
1280,1280,Abbott Road Turner Avenue North,42.832737,-78.805721,0,
1310,1310,Abbott Road Webster Road North,42.781759,-78.789832,0,
1330,1330,Abbott Road Willet Road South,42.80459,-78.797485,0,
1340,1340,Abbott Road Woodside Avenue North,42.84174,-78.808501,0,
1350,1350,Abbott Road Woodside Avenue South,42.8422,-78.809181,0,
1390,1390,Alberta Drive Amsterdam Avenue Nort,42.985313,-78.817215,0,
1400,1400,Alberta Drive Amsterdam Avenue Sout,42.985792,-78.817592,0,
1420,1420,Alberta Drive Boulevard Mall South,42.98806,-78.817304,0,
1430,1430,Alberta Drive Henel Road North,42.982614,-78.817242,0,
1440,1440,Alberta Drive Henel Road South Near,42.983133,-78.817656,0,
1442,1442,Alberta Drive Maple Road North,42.990727,-78.817041,0,
1445,1445,Alberta Drive Sheridan Drive North ,42.980827,-78.817344,0,
1450,1450,Alberta Drive Sheridan Drive South,42.980884,-78.817613,0,
1460,1460,Alberta Drive Wegmans Driveway Nort,42.98782,-78.817133,0,
1463,1463,Alberta Drive Wegmans North,42.989437,-78.816824,0,
1464,1464,Alberta Drive Wegmans South Opposit,42.989601,-78.817271,0,
1517,1517,Amherst Street 99 Amherst Street Ea,42.935259,-78.899428,0,
1520,1520,Amherst Street 200 Amherst Street W,42.936259,-78.896002,0,
1540,1540,Amherst Street 601 Amherst Street E,42.940457,-78.88181,0,
1580,1580,Amherst Street Bailey Avenue East,42.940178,-78.814302,0,
1600,1600,Amherst Street Bridgeman Street Wes,42.94067,-78.882841,0,
1610,1610,Amherst Street Reservation Street E,42.940138,-78.884448,0,
1620,1620,Amherst Street Bush Street West,42.939908,-78.885483,0,
1630,1630,Amherst Street 227 Amherst Street E,42.93619,-78.89577,0,
1640,1640,Amherst Street Clarence Avenue East,42.940058,-78.822901,0,
1650,1650,Amherst Street Colvin Avenue East,42.941135,-78.855745,0,
1670,1670,Amherst Street Comstock Avenue East,42.940121,-78.817399,0,
1690,1690,Amherst Street Crescent Avenue East,42.940279,-78.846579,0,
1695,1695,Amherst Street Crescent Avenue West,42.940405,-78.84643,0,
1700,1700,Amherst Street Delaware Avenue East,42.94049,-78.868058,0,
1705,1705,Amherst Street Delaware Avenue East,42.940472,-78.866798,0,
1710,1710,Amherst Street Delaware Avenue West,42.940599,-78.868101,0,
1720,1720,Amherst Street Delaware Avenue West,42.940586,-78.867131,0,
1730,1730,Amherst Street Duane Terrace West,42.94037,-78.84315,0,
1740,1740,Amherst Street East Street East,42.934914,-78.900514,0,
1745,1745,Amherst Street East Street West,42.935076,-78.900356,0,
1760,1760,Amherst Street Edge Park Avenue Wes,42.940531,-78.86339,0,
1770,1770,Amherst Street Elmer Avenue East,42.940098,-78.819661,0,
1780,1780,Amherst Street Elmwood Avenue East,42.940523,-78.878824,0,
1781,1781,Amherst St Elmwood Ave East Farside,42.940508,-78.877912,0,
1790,1790,Amherst Street Elmwood Avenue West,42.940628,-78.877602,0,
1800,1800,Amherst Street Fairfield Street Eas,42.940254,-78.843756,0,
1820,1820,Amherst Street Grant Street East Fa,42.938356,-78.889393,0,
1830,1830,Amherst Street Grant Street West Fa,42.938171,-78.890285,0,
1840,1840,Amherst Street Greenfield Street We,42.940415,-78.845095,0,
1860,1860,Amherst Street Hill Street West,42.940248,-78.83132,0,
1861,1861,Amherst Street Hill Street East,42.940107,-78.831616,0,
1880,1880,Amherst Street Lincoln Parkway East,42.940477,-78.872469,0,
1890,1890,Amherst Street Lincoln Parkway West,42.940601,-78.872102,0,
1900,1900,Amherst Street Main Street West,42.940337,-78.837573,0,
1910,1910,Amherst Street Amherst Street Stati,42.940227,-78.838185,0,
1920,1920,Amherst Street Manhattan Avenue Eas,42.940069,-78.828257,0,
1930,1930,Amherst Street Manhattan Avenue Wes,42.94021,-78.828382,0,
1940,1940,Amherst Street Military Road East,42.936652,-78.894328,0,
1950,1950,Amherst Street Military Road West,42.937112,-78.89326,0,
1960,1960,Amherst Street New Amsterdam Avenue,42.940457,-78.862281,0,
1970,1970,Amherst Street New Amsterdam Avenue,42.940541,-78.861785,0,
1973,1973,Amherst Street Elmwood Avenue West ,42.940638,-78.879562,0,
1980,1980,Amherst Street Niagara Street East ,42.934465,-78.901921,0,
1985,1985,Amherst Street Niagara Street West,42.934574,-78.90214,0,
1990,1990,Amherst Street Nichols School West,42.940991,-78.856972,0,
2000,2000,Amherst Street Nottingham Terrace E,42.940421,-78.860417,0,
2010,2010,Amherst Street Nottingham Terrace W,42.94055,-78.860059,0,
2020,2020,Amherst Street Pannell Street East ,42.940184,-78.836304,0,
2030,2030,Amherst Street Pannell Street West,42.940295,-78.83636,0,
2040,2040,Amherst Street Parker-Amherst Stati,42.940297,-78.83894,0,
2050,2050,Amherst Street Parkridge Avenue Eas,42.940078,-78.821264,0,
2070,2070,Amherst Street Parkside Avenue East,42.940328,-78.850478,0,
2080,2080,Amherst Street Parkside Avenue West,42.940462,-78.85052,0,
2090,2090,Amherst Street Peter Street East,42.938986,-78.887569,0,
2100,2100,Amherst Street Peter Street West,42.939229,-78.887371,0,
2110,2110,Amherst Street Summit Avenue West,42.940399,-78.847582,0,
2130,2130,Amherst Street Tonawanda Street Wes,42.935577,-78.89934,0,
2133,2133,Amherst Street Tops Market East,42.937615,-78.891442,0,
2136,2136,Amherst Street Tops West Opposite,42.937746,-78.891468,0,
2140,2140,Amherst Street Woodward Avenue East,42.940322,-78.849337,0,
2150,2150,Amherst Street Woodward Avenue West,42.940416,-78.849124,0,
2160,2160,Amtrak Station Dick Road Static,42.906771,-78.726456,0,
2210,2210,Arrow Drive Bell Sports Center East,42.96123,-78.721586,0,
2220,2220,Arrow Drive Tech Drive East,42.961238,-78.71916,0,
2270,2270,Aurora Street Pleasant Avenue South,42.901589,-78.67312,0,
2280,2280,Auspurger Road Jacobs Hall East Opp,42.997981,-78.788079,0,
2290,2290,Auspurger Road Jacobs Hall West Far,42.998106,-78.787873,0,
2295,2295,Millersport Hwy UB Entrance West Ne,42.997298,-78.780941,0,
2300,2300,Auspurger Road Slee Hall East Oppos,42.998038,-78.782653,0,
2310,2310,Auspurger Road Slee Hall West Nears,42.998128,-78.782592,0,
2350,2350,Bailey Avenue Michael Rd North Oppo,42.955604,-78.813725,0,
2355,2355,Bailey Avenue Michael Road South,42.955637,-78.813952,0,
2360,2360,Bailey Avenue 3675 Bailey Avenue So,42.956645,-78.813953,0,
2370,2370,Bailey Avenue UB Dental School Sout,42.953526,-78.813887,0,
2380,2380,Bailey Avenue UB Dental School Nort,42.953399,-78.813679,0,
2390,2390,Bailey Avenue Buffalo China Road No,42.868922,-78.822049,0,
2395,2395,Bailey Avenue 744 Bailey Avenue Sou,42.874826,-78.818139,0,
2410,2410,Bailey Avenue 761 Bailey Avenue Nor,42.875228,-78.817491,0,
2420,2420,Bailey Avenue 90 Bailey Avenue Sout,42.859287,-78.827486,0,
2430,2430,Bailey Avenue 926 Bailey Avenue Sou,42.879552,-78.814782,0,
2440,2440,Bailey Avenue 929 Bailey Avenue Nor,42.879512,-78.814494,0,
2450,2450,Bailey Avenue 97 Bailey Avenue Nort,42.859224,-78.827486,0,
2470,2470,Bailey Avenue Abbott Road South Nea,42.857319,-78.829548,0,
2480,2480,Bailey Avenue Amherst Street North ,42.940107,-78.81352,0,
2490,2490,Bailey Avenue Amherst Street South,42.940508,-78.813764,0,
2500,2500,Bailey Avenue Amherst Development P,42.996476,-78.816819,0,
2510,2510,Bailey Avenue Antwerp Street North,42.911148,-78.813637,0,
2520,2520,Bailey Avenue Antwerp Street South ,42.911173,-78.813804,0,
2530,2530,Bailey Avenue Abbott Road Static,42.85728,-78.829242,0,
2540,2540,Bailey Avenue Abbott Road North,42.857263,-78.829401,0,
2570,2570,Bailey Avenue Broadway South,42.897247,-78.814117,0,
2580,2580,Bailey Avenue Broadway North Farsid,42.897782,-78.813838,0,
2590,2590,Bailey Avenue Broadway North,42.89664,-78.813891,0,
2600,2600,Bailey Avenue Clinton Street North ,42.872451,-78.819601,0,
2610,2610,Bailey Avenue Clinton Street South ,42.872229,-78.819992,0,
2640,2640,Bailey Avenue Dartmouth Avenue Nort,42.94328,-78.813552,0,
2650,2650,Bailey Avenue East Delavan Avenue N,42.922412,-78.813567,0,
2660,2660,Bailey Avenue East Delavan Avenue S,42.922135,-78.813803,0,
2670,2670,Bailey Avenue Dempster Street North,42.886324,-78.814147,0,
2680,2680,Bailey Avenue Dempster Street South,42.886474,-78.81431,0,
2690,2690,Bailey Avenue Dingens Street North,42.87768,-78.815863,0,
2700,2700,Bailey Avenue Dingens Street South ,42.878101,-78.815856,0,
2710,2710,Bailey Avenue Doat Street North,42.909664,-78.813641,0,
2720,2720,Bailey Avenue Doat Street South,42.909873,-78.813821,0,
2730,2730,Bailey Avenue Doris Avenue South,42.926376,-78.813772,0,
2750,2750,Bailey Avenue Elk Street North,42.864548,-78.825335,0,
2760,2760,Bailey Avenue Elk Street South Fars,42.864409,-78.825655,0,
2770,2770,Bailey Avenue East Ferry Street Nor,42.914373,-78.813568,0,
2780,2780,Bailey Avenue East Ferry Street Sou,42.914838,-78.813852,0,
2790,2790,Bailey Avenue Genesee Street North,42.91238,-78.813593,0,
2800,2800,Bailey Avenue Genesee Street South,42.912809,-78.813824,0,
2810,2810,Bailey Avenue Gerald Place North,42.925013,-78.813575,0,
2815,2815,Bailey Ave. Grover Cleveland Hwy No,42.963663,-78.813793,0,
2816,2816,Bailey Avenue Grover Cleveland High,42.963423,-78.813974,0,
2820,2820,Bailey Avenue Hastings Avenue North,42.936445,-78.813521,0,
2830,2830,Bailey Avenue Hastings Avenue South,42.936407,-78.813761,0,
2840,2840,Bailey Avenue Hazel Place South,42.908139,-78.81382,0,
2850,2850,Bailey Avenue Hennepin Street North,42.88798,-78.814117,0,
2860,2860,Bailey Avenue Hennepin Street South,42.888318,-78.81431,0,
2870,2870,Bailey Avenue Heussy Avenue North,42.859533,-78.826272,0,
2880,2880,Bailey Avenue Heussy Avenue South O,42.859794,-78.826008,0,
2890,2890,Bailey Avenue Hewett Avenue South,42.942591,-78.813761,0,
2950,2950,Bailey Avenue Kensington Avenue Sou,42.938073,-78.813769,0,
2960,2960,Bailey Avenue Kensington Avenue Nor,42.938378,-78.81354,0,
2970,2970,Bailey Avenue Kensington Avenue Nor,42.937881,-78.813538,0,
2980,2980,Bailey Avenue Kerns Avenue North,42.916944,-78.813596,0,
2990,2990,Bailey Avenue 2371 Bailey Avenue No,42.919225,-78.81361,0,
3000,3000,Bailey Avenue Langfield Drive North,42.929634,-78.813553,0,
3010,3010,Bailey Avenue Langfield Drive South,42.930027,-78.813766,0,
3020,3020,Bailey Avenue Langmeyer Avenue Sout,42.924704,-78.813771,0,
3030,3030,Bailey Avenue Buffalo China Road So,42.869034,-78.82222,0,
3040,3040,Bailey Avenue East Lovejoy Street N,42.889648,-78.814082,0,
3050,3050,Bailey Avenue Lovejoy Street South,42.889868,-78.814238,0,
3070,3070,Bailey Avenue Main Street North,42.957909,-78.813751,0,
3072,3072,Bailey Avenue Crosby Circle North,42.960331,-78.813795,0,
3090,3090,Bailey Avenue Manhart Street South,42.928022,-78.813768,0,
3100,3100,Bailey Avenue Martha Avenue South O,42.934581,-78.813752,0,
3110,3110,Bailey Avenue Millicent Avenue Nort,42.934726,-78.813556,0,
3120,3120,Bailey Avenue Minnesota Avenue Nort,42.945749,-78.813571,0,
