name,block_id,lat,lon,neighborhood,point_type
115,at11,42.9007968,-78.88268405,Allentown,interior
116,at12,42.9012478,-78.88182414,Allentown,interior
117,at13,42.90017332,-78.88156128,Allentown,interior
118,at14,42.90167601,-78.8809095,Allentown,interior
119,at15,42.90187441,-78.87968642,Allentown,interior
120,at16,42.90028921,-78.87973469,Allentown,interior
121,at17,42.90085296,-78.8786028,Allentown,interior
122,at18,42.90087732,-78.87765384,Allentown,interior
123,at19,42.90084589,-78.87658364,Allentown,interior
124,at110,42.9008341,-78.87554026,Allentown,interior
125,at111,42.90082821,-78.87429571,Allentown,interior
126,at112,42.90081878,-78.87266493,Allentown,interior
127,at113,42.9008125,-78.87125248,Allentown,interior
128,at114,42.90080464,-78.87005889,Allentown,interior
129,at21,42.89921393,-78.88150227,Allentown,interior
130,at22,42.89846001,-78.88019335,Allentown,interior
131,at23,42.89785419,-78.87956035,Allentown,interior
132,at24,42.8981563,-78.87847728,Allentown,interior
133,at25,42.89814059,-78.87756801,Allentown,interior
134,at26,42.89815119,-78.87650532,Allentown,interior
135,at27,42.89813744,-78.87516689,Allentown,interior
136,at28,42.89812291,-78.87394971,Allentown,interior
137,at29,42.89813116,-78.87310642,Allentown,interior
138,at210,42.89811151,-78.8721301,Allentown,interior
139,at211,42.89810169,-78.8709392,Allentown,interior
140,at31,42.89689987,-78.8801896,Allentown,interior
141,at32,42.89657574,-78.8776415,Allentown,interior
142,at33,42.89583317,-78.87807065,Allentown,interior
143,at34,42.89497391,-78.878694,Allentown,interior
144,at35,42.89642166,-78.8759619,Allentown,interior
145,at36,42.8953467,-78.87612551,Allentown,interior
146,at37,42.89443792,-78.87640125,Allentown,interior
147,at38,42.89625389,-78.8741557,Allentown,interior
148,at39,42.89474595,-78.87463152,Allentown,interior
149,at310,42.89613131,-78.87273145,Allentown,interior
150,at311,42.89450628,-78.87329578,Allentown,interior
151,at312,42.8960154,-78.87154591,Allentown,interior
152,at313,42.89432358,-78.87220412,Allentown,interior
