name,block_id,lat,lon,neighborhood
1,bnmc1,42.90172861370681,-78.86795604281362,BNMC
2,bnmc2,42.90082110913078,-78.86824572138721,BNMC
3,bnmc3,42.90169210148238,-78.86611658374024,BNMC
4,bnmc4,42.90080885122898,-78.8657080831763,BNMC
